"rank_change","symbol","rank","padj","gene"
1111,"ZNF614",4501,0.00361302083094673,"ENSG00000142556"
1990,"CFAP44",4502,0.00361568183634283,"ENSG00000206530"
1904,"LINC00565",4503,0.00361568183634283,"ENSG00000260910"
527,"RPL10P12",4504,0.00361666735555187,"ENSG00000234040"
1960,"TNFRSF12A",4505,0.0036180802521569,"ENSG00000006327"
1155,"MPP5",4506,0.00362310635254439,"ENSG00000072415"
4589,"CARNS1",4507,0.00362378788829276,"ENSG00000172508"
-2762,"MS4A4E",4508,0.00362378788829276,"ENSG00000214787"
NA,"GLULP3",4509,0.00362378788829276,"ENSG00000254572"
-2717,"PARGP1",4510,0.00362428951343405,"ENSG00000239883"
1248,"ZNF273",4511,0.00362641368695989,"ENSG00000198039"
2135,"ROCK2",4512,0.00362668449735557,"ENSG00000134318"
-51,"LINC00235",4513,0.00362668449735557,"ENSG00000277142"
-1585,"CCL3",4514,0.00363199689397935,"ENSG00000277632"
-2193,"CEP295NL",4515,0.00363815944490279,"ENSG00000178404"
-2057,"AL049820.1",4516,0.00363815944490279,"ENSG00000233044"
1492,"AMDHD2",4517,0.0036463025419681,"ENSG00000162066"
-429,"MTND4P23",4518,0.00365048193296962,"ENSG00000225796"
3265,"USP46",4519,0.00365189789722233,"ENSG00000109189"
1717,"TAPBPL",4520,0.00365256717195437,"ENSG00000139192"
3923,"NAP1L2",4521,0.00365411886201608,"ENSG00000186462"
27,"SLC16A9",4522,0.00365506674046363,"ENSG00000165449"
104,"AC104115.2",4523,0.00365644395288221,"ENSG00000253908"
6401,"YEATS2-AS1",4524,0.00365665205255632,"ENSG00000233885"
-1375,"GUCY1B2",4525,0.00365825151970081,"ENSG00000123201"
-111,"XKR5",4526,0.00365825151970081,"ENSG00000275591"
-4373,"IGFLR1",4527,0.00365975879000571,"ENSG00000126246"
-2083,"AC027514.2",4528,0.00366526889967486,"ENSG00000267560"
1115,"AC011447.7",4529,0.0036671943072457,"ENSG00000280079"
2998,"AC008985.1",4530,0.00366723588913273,"ENSG00000278999"
275,"PLXND1",4531,0.003674995297624,"ENSG00000004399"
545,"MAPK8",4532,0.00368334250726143,"ENSG00000107643"
3748,"BCKDHB",4533,0.00368336817538115,"ENSG00000083123"
-692,"BNIP3P40",4534,0.00368336817538115,"ENSG00000268058"
1563,"TRRAP",4535,0.0036851948562878,"ENSG00000196367"
NA,"AL353748.3",4536,0.00369263654417286,"ENSG00000287769"
2264,"INSR",4537,0.00369597287600195,"ENSG00000171105"
-1834,"SMARCE1P6",4538,0.00369597287600195,"ENSG00000214465"
-3688,"POLG2",4539,0.00369597287600195,"ENSG00000256525"
2231,"AC079174.2",4540,0.00369728181780512,"ENSG00000277715"
-560,"TAS2R50",4541,0.00369982814506902,"ENSG00000212126"
1237,"AC016397.2",4542,0.00370036420194013,"ENSG00000279822"
-1020,"ACTG1P3",4543,0.00370208561155372,"ENSG00000215388"
-1933,"AC013356.3",4544,0.00370565439807738,"ENSG00000259364"
-2556,"AC090519.1",4545,0.00371032813185992,"ENSG00000259499"
2931,"AHSP",4546,0.00371768517643191,"ENSG00000169877"
3307,"ZBTB41",4547,0.00371938226065994,"ENSG00000177888"
4593,"AC020978.7",4548,0.0037264897220913,"ENSG00000263276"
1954,"TM7SF3",4549,0.0037299113085238,"ENSG00000064115"
-1682,"RPL26P35",4550,0.0037299113085238,"ENSG00000244229"
-1520,"VN1R83P",4551,0.0037299113085238,"ENSG00000268521"
1508,"AC091181.1",4552,0.00373080592892987,"ENSG00000279555"
536,"TDGF1P6",4553,0.00373519639581569,"ENSG00000241438"
1227,"AGPS",4554,0.00374102601869118,"ENSG00000018510"
2608,"UGCG",4555,0.00374102601869118,"ENSG00000148154"
1713,"BLOC1S3",4556,0.00375221717706209,"ENSG00000189114"
3928,"GPR137",4557,0.00376958501658147,"ENSG00000173264"
1309,"CAPG",4558,0.00377071458216899,"ENSG00000042493"
1213,"FAM131A",4559,0.00377121975457349,"ENSG00000175182"
-23,"SH3GL1",4560,0.00377248772032145,"ENSG00000141985"
-920,"PIGFP2",4561,0.00377614230766243,"ENSG00000234881"
8596,"CA10",4562,0.00377709150758259,"ENSG00000154975"
1646,"TUBB1",4563,0.00378538864605028,"ENSG00000101162"
-2769,"AC024451.3",4564,0.00378538864605028,"ENSG00000254065"
3453,"CD163L1",4565,0.00379066453420236,"ENSG00000177675"
-2930,"AC087749.1",4566,0.00380035525641372,"ENSG00000264270"
371,"EIF4A3",4567,0.0038020700604192,"ENSG00000141543"
-1719,"AC023509.2",4568,0.0038020700604192,"ENSG00000257550"
3591,"TMEM67",4569,0.00380266238689336,"ENSG00000164953"
3304,"KIF18B",4570,0.00380266238689336,"ENSG00000186185"
1432,"AP002495.1",4571,0.00380266238689336,"ENSG00000254469"
-1343,"AC020612.3",4572,0.00380266238689336,"ENSG00000257964"
2413,"AC098935.2",4573,0.00380266238689336,"ENSG00000271680"
3370,"AC006504.5",4574,0.00380553801459533,"ENSG00000267575"
2468,"SORL1",4575,0.00380635757209645,"ENSG00000137642"
2766,"HSPA7",4576,0.00381829441099913,"ENSG00000225217"
1930,"ZNF225",4577,0.00381829441099913,"ENSG00000256294"
-1664,"OR8R1P",4578,0.00381829441099913,"ENSG00000256347"
2619,"MARCHF9",4579,0.00382210881165831,"ENSG00000139266"
2058,"SMC6",4580,0.00383418989223326,"ENSG00000163029"
1857,"LAMTOR2",4581,0.00383444492335204,"ENSG00000116586"
2544,"POGLUT3",4582,0.00384401802825591,"ENSG00000178202"
