"gene","GTExN7MScountsREPROCESSED","GTExNFK9countsREPROCESSED","GTExO5YTcountsREPROCESSED","GDC2821countsREPROCESSED","GDC2828countsREPROCESSED","GDC2839countsREPROCESSED","padj","symbol","rank","rank_change"
"ENSG00000287168",15,17,42,402,236,227,0.00125588531025116,"AL512625.3",3498,NA
"ENSG00000286861",1,5,2,103,72,87,0.00126568177718491,"AL049779.4",3506,NA
"ENSG00000232254",5,6,9,0,0,0,0.00128053993655383,"CSF2RBP1",3511,NA
"ENSG00000258960",7,3,12,0,0,0,0.00129461518308899,"FTH1P13",3523,NA
"ENSG00000285701",1,0,1,65,87,29,0.00133789556450129,"AL357140.4",3546,NA
"ENSG00000196990",3,1,35,0,0,0,0.00140048975495875,"FAM163B",3583,NA
"ENSG00000287872",0,0,0,25,21,59,0.00141255599806928,"AC026956.2",3587,NA
"ENSG00000285909",5,4,0,195,330,38,0.00146406973290638,"AP002762.2",3616,NA
"ENSG00000286035",13,5,46,283,372,293,0.00150208513819698,"AC073840.1",3633,NA
"ENSG00000287837",28,12,28,692,250,212,0.00150663122659451,"AL590064.1",3638,NA
"ENSG00000286640",7,53,6,5,2,4,0.00151670326747212,"AC093151.5",3648,NA
"ENSG00000286846",0,1,0,61,20,72,0.00157880311377961,"Z93943.1",3682,NA
"ENSG00000285803",2,0,2,115,154,13,0.00160560311564204,"AL442003.1",3699,NA
"ENSG00000233419",4,7,8,0,0,0,0.0016868248263152,"IFITM3P7",3731,NA
"ENSG00000287936",1,0,1,45,49,63,0.0017467761113513,"AL391425.1",3765,NA
"ENSG00000165548",243,25,40,15,2,32,0.00179514633295344,"TMEM63C",3796,NA
"ENSG00000288046",7,1,0,13,479,316,0.00181161700494569,"AL031123.5",3804,NA
"ENSG00000254996",40,31,77,429,625,454,0.00185174024043237,"ANKHD1-EIF4EBP3",3832,NA
"ENSG00000286305",6,0,3,101,87,104,0.00190464615721839,"AC004893.2",3848,NA
"ENSG00000285850",7,0,0,202,139,103,0.00218131568898513,"AC009152.3",3959,NA
"ENSG00000163235",131,173,1592,290,22,11,0.00226980644104068,"TGFA",3989,NA
"ENSG00000287581",0,0,0,30,22,36,0.00226980644104068,"AC016549.1",3990,NA
"ENSG00000283515",0,0,0,48,19,26,0.00228453945725229,"AC020915.4",3994,NA
"ENSG00000286974",25,4,20,535,208,226,0.0022884020152391,"AL662884.5",3997,NA
"ENSG00000287695",0,0,0,37,20,32,0.00229023084944022,"AC008625.1",3998,NA
"ENSG00000287117",0,0,1,93,14,46,0.00238609481973161,"AC105916.1",4042,NA
"ENSG00000286288",40,54,388,65,69,11,0.0024258060111822,"AL109809.4",4057,NA
"ENSG00000286366",6,0,4,153,43,163,0.00250992731878207,"AC005052.2",4099,NA
"ENSG00000243797",2,5,26,1,0,0,0.0025479717007853,"AC004917.1",4117,NA
"ENSG00000288025",2,14,9,181,319,93,0.00281388887600516,"AC093849.4",4224,NA
"ENSG00000185842",18,7,10,174,120,555,0.00286538433090206,"DNAH14",4236,NA
"ENSG00000207736",8,12,15,5,1,0,0.00293056607665237,"MIR657",4266,NA
"ENSG00000286771",1,1,1,63,34,45,0.00314557726244471,"AC097658.3",4319,NA
"ENSG00000126251",2,0,50,0,0,0,0.00314891032396898,"GPR42",4324,NA
"ENSG00000285533",59,72,132,77,66,67,0.00327020711221386,"RELA-DT",4372,NA
"ENSG00000287665",7,0,22,207,236,160,0.00327242904867992,"AC092428.1",4374,NA
"ENSG00000287437",2,0,2,42,55,59,0.00328432770652689,"AL161662.1",4375,NA
"ENSG00000286216",0,0,1,61,38,21,0.00337193064107842,"AC104335.1",4399,NA
"ENSG00000285669",1,4,25,226,176,139,0.00340739659685291,"AC026979.4",4416,NA
"ENSG00000254572",5,4,14,1,0,0,0.00362378788829276,"GLULP3",4509,NA
"ENSG00000287769",1,1,4,56,45,62,0.00369263654417286,"AL353748.3",4536,NA
