"gene","GTExN7MScountsPUBLISHED","GTExNFK9countsPUBLISHED","GTExO5YTcountsPUBLISHED","GDC2821countsPUBLISHED","GDC2828countsPUBLISHED","GDC2839countsPUBLISHED","padj","symbol","rank","rank_change"
"ENSG00000266237",0,0,0,12,12,30,0.0044667667900183,"AC121320.1",7307,NA
"ENSG00000200520",0,0,0,10,18,24,0.00446976008546148,"RNU6-1214P",7310,NA
"ENSG00000268105",0,0,0,12,30,12,0.00447472626593117,"AC124856.1",7312,NA
"ENSG00000131951",0,0,1,12,15,58,0.00449125464445508,"LRRC9",7318,NA
"ENSG00000279785",0,0,0,12,17,21,0.00450158915960334,"AC008267.7",7320,NA
"ENSG00000234274",0,0,0,17,9,28,0.00450801905424802,"COX7BP2",7322,NA
"ENSG00000260594",0,0,0,28,5,29,0.00450801905424802,"AC099313.1",7323,NA
"ENSG00000252244",0,0,0,19,9,25,0.0045282695765479,"RNU7-3P",7328,NA
"ENSG00000263584",0,0,0,9,36,13,0.0045282695765479,"MIR4480",7329,NA
"ENSG00000209582",40,3,0,0,0,0,0.00454264241565483,"SNORA48",7337,NA
"ENSG00000270679",0,0,0,23,8,23,0.00457499899625184,"AC138473.1",7344,NA
"ENSG00000224099",0,0,0,3,37,31,0.00458196213315817,"AC104823.1",7347,NA
"ENSG00000265820",0,0,0,38,11,10,0.0045983950024138,"MIR3177",7352,NA
"ENSG00000266531",0,0,0,14,15,20,0.00460980849848462,"MIR4706",7355,NA
"ENSG00000239946",0,0,0,21,8,25,0.00461935757940064,"ZBTB20-AS3",7358,NA
"ENSG00000251785",0,0,0,12,13,27,0.00463856658144872,"RNA5SP20",7360,NA
"ENSG00000252782",0,0,0,10,21,20,0.00464612988574516,"RNU6-341P",7361,NA
"ENSG00000200883",0,0,0,14,23,13,0.00465235514653674,"Y_RNA",7363,NA
"ENSG00000222208",0,0,0,14,13,23,0.004664939895695,"RNA5SP129",7367,NA
"ENSG00000278917",0,0,0,21,22,9,0.00470546807364937,"AC006213.6",7374,NA
"ENSG00000270577",0,0,0,10,16,26,0.0047146653802158,"AC006023.1",7376,NA
"ENSG00000275550",0,0,0,10,16,26,0.0047146653802158,"AL096712.1",7377,NA
"ENSG00000269373",0,0,0,12,15,23,0.00474489255980829,"AC008739.2",7386,NA
"ENSG00000245311",0,0,0,17,6,38,0.00476398752309635,"ARNTL2-AS1",7388,NA
"ENSG00000254907",0,0,0,19,8,27,0.00476436399576386,"AC087276.2",7390,NA
"ENSG00000241073",0,0,0,13,15,21,0.00480455507766545,"AC093019.2",7399,NA
"ENSG00000212536",0,0,0,12,17,20,0.00483119993741603,"RNA5SP474",7404,NA
"ENSG00000258068",0,0,0,17,14,17,0.00484782945853314,"AC079600.3",7407,NA
"ENSG00000228604",0,0,0,24,13,13,0.00487241276929927,"AL121759.1",7416,NA
"ENSG00000251733",0,0,0,16,14,18,0.00488105462911292,"SCARNA8",7419,NA
"ENSG00000165164",0,0,0,13,9,34,0.00488332671727427,"CFAP47",7420,NA
"ENSG00000111305",0,0,0,21,12,16,0.00489692641091292,"GSG1",7423,NA
"ENSG00000243849",0,0,0,17,7,33,0.00490747750986399,"CFAP44-AS1",7428,NA
"ENSG00000207595",0,0,0,36,1,55,0.00490753827781086,"MIR181A2",7429,NA
