"gene","GTExN7MScountsREPROCESSED","GTExNFK9countsREPROCESSED","GTExO5YTcountsREPROCESSED","GDC2821countsREPROCESSED","GDC2828countsREPROCESSED","GDC2839countsREPROCESSED","padj","symbol","rank","rank_change"
"ENSG00000115607",1675,5936,40574,311,40,43,7.57634701924432e-14,"IL18RAP",67,178
"ENSG00000008438",2002,837,2009,104,12,11,8.89759523801047e-14,"PGLYRP1",68,125
"ENSG00000122367",152,56,140,4,5,1,9.61350625124302e-14,"LDB3",69,356
"ENSG00000119121",94,184,122,9,8,7,1.30651632704307e-13,"TRPM6",70,117
"ENSG00000143774",12395,8405,8383,1882,1187,799,1.32579430936197e-13,"GUK1",71,121
"ENSG00000109061",465,330,175,1,0,0,1.39206414249571e-13,"MYH1",72,206
"ENSG00000152463",13,906,5694,5,1,1,1.39206414249571e-13,"OLAH",73,193
"ENSG00000132846",19,11,32,1246,1288,1352,1.43913930880618e-13,"ZBED3",74,82
"ENSG00000232368",70,161,179,3,6,0,1.89476481253679e-13,"FTLP2",75,11065
"ENSG00000196843",3881,3549,11519,1327,829,859,2.27685943749992e-13,"ARID5A",76,100
"ENSG00000130592",13704,9296,29411,2882,1693,2534,2.89070609329562e-13,"LSP1",77,20
"ENSG00000132471",9721,4497,14666,1760,1889,1120,2.89070609329562e-13,"WBP2",78,138
"ENSG00000104879",2735,1531,655,9,55,38,2.92040694035426e-13,"CKM",79,341
"ENSG00000221957",226,159,97,1,4,0,2.92040694035426e-13,"KIR2DS4",80,70
"ENSG00000135924",2396,1215,2034,336,343,229,3.77799424598769e-13,"DNAJB2",81,130
"ENSG00000139618",28,24,60,1528,2369,1487,7.12749123439189e-13,"BRCA2",82,97
"ENSG00000231412",115,380,9031,0,4,7,9.17646560220588e-13,"AC005392.2",83,1089
"ENSG00000204592",49730,53724,129569,18247,19604,8148,9.93626556483747e-13,"HLA-E",84,143
"ENSG00000022840",12037,11720,40543,4388,3557,2949,1.22749350966148e-12,"RNF10",85,64
"ENSG00000246859",7,3,10,1379,480,1192,1.41385492221826e-12,"STARD4-AS1",86,53
"ENSG00000013306",46603,39787,9269,2380,1137,857,1.43825752047576e-12,"SLC25A39",87,202
"ENSG00000066279",25,7,12,1722,2992,1541,1.73331950047436e-12,"ASPM",88,52
"ENSG00000147872",15575,5285,7703,1128,1076,604,1.75668007384301e-12,"PLIN2",89,180
"ENSG00000172216",4653,5971,20525,1165,1248,316,1.81299685661039e-12,"CEBPB",90,205
"ENSG00000170525",10437,5449,42112,1471,1595,467,1.91024739830061e-12,"PFKFB3",91,212
"ENSG00000286051",0,0,0,2400,480,793,1.95387523608521e-12,"AC244102.3",92,NA
"ENSG00000102098",13,5,8,1252,734,733,2.12635487301182e-12,"SCML2",93,141
"ENSG00000225470",14,7,7,1117,1083,1598,2.48357584941827e-12,"JPX",94,-7
"ENSG00000168530",209,149,67,0,0,0,2.48993143455842e-12,"MYL1",95,274
"ENSG00000189067",15999,13869,80658,3941,2397,2746,3.00655345262233e-12,"LITAF",96,121
"ENSG00000103154",91,110,284,2,0,0,3.43618698252034e-12,"NECAB2",97,183
"ENSG00000131669",6534,3649,6475,955,548,155,3.43618698252034e-12,"NINJ1",98,223
"ENSG00000282508",350,357,800,59,110,69,3.43618698252034e-12,"LINC01002",99,857
"ENSG00000131095",311,186,810,3,7,21,3.69811153652435e-12,"GFAP",100,612
"ENSG00000185900",81,96,139,4906,4995,2304,3.69811153652435e-12,"POMK",101,-78
