"gene","GTExN7MScountsREPROCESSED","GTExNFK9countsREPROCESSED","GTExO5YTcountsREPROCESSED","GDC2821countsREPROCESSED","GDC2828countsREPROCESSED","GDC2839countsREPROCESSED","padj","symbol","rank","rank_change"
"ENSG00000008438",2002,837,2009,110,15,29,6.0341351184115e-15,"PGLYRP1",67,126
"ENSG00000213654",10246,10890,46577,2514,3105,1994,6.72142640782132e-15,"GPSM3",68,110
"ENSG00000232187",142,136,409,17,31,9,7.55032787369419e-15,"FTH1P7",69,1321
"ENSG00000022840",12037,11720,40543,4751,4081,4378,7.68656836929742e-15,"RNF10",70,79
"ENSG00000155189",85,69,109,3124,3127,3484,7.68656836929742e-15,"AGPAT5",71,63
"ENSG00000007062",8,5,3,9926,939,9166,9.22768745619307e-15,"PROM1",72,123
"ENSG00000140932",238,663,3703,21,6,31,1.1882919070233e-14,"CMTM2",73,116
"ENSG00000132471",9721,4497,14666,1905,2244,1449,1.20084727209578e-14,"WBP2",74,142
"ENSG00000115590",1535,21445,251167,145,113,5,1.35090464853578e-14,"IL1R2",75,122
"ENSG00000119121",94,184,122,9,10,14,1.37100190662295e-14,"TRPM6",76,111
"ENSG00000143774",12395,8405,8383,2056,1378,1151,1.4252052000267e-14,"GUK1",77,115
"ENSG00000187608",256,231,585,116,116,80,2.49342881499007e-14,"ISG15",78,106
"ENSG00000214456",207,946,2249,26,57,18,2.49342881499007e-14,"PLIN5",79,73
"ENSG00000086506",480,1110,408,34,7,28,3.00471575966583e-14,"HBQ1",80,-6
"ENSG00000109061",465,330,175,1,0,0,3.07516614705217e-14,"MYH1",81,197
"ENSG00000103569",6406,18023,88377,196,534,27,3.14284477196729e-14,"AQP9",82,92
"ENSG00000173641",108,153,187,0,1,1,3.14284477196729e-14,"HSPB7",83,218
"ENSG00000104218",86,73,148,3596,2871,4057,4.27310833119387e-14,"CSPP1",84,-6
"ENSG00000168309",76,124,630,5,10,2,4.27310833119387e-14,"FAM107A",85,331
"ENSG00000198554",23,25,35,1083,1213,1055,4.27310833119387e-14,"WDHD1",86,76
"ENSG00000221957",226,159,97,1,4,0,5.40594788209434e-14,"KIR2DS4",87,63
"ENSG00000116299",944,787,957,57,4,21,5.5899538040389e-14,"ELAPOR1",88,92
"ENSG00000105835",21304,38257,221010,3888,4582,1824,7.36076218122734e-14,"NAMPT",89,179
"ENSG00000131095",311,186,810,5,10,31,7.74779346645147e-14,"GFAP",90,622
"ENSG00000050165",69,131,224,18,5,6,8.38519610187647e-14,"DKK3",91,684
"ENSG00000236562",79,38,205,5,2,1,8.3945758381833e-14,"IFITM3P1",92,1259
"ENSG00000102098",13,5,8,1358,837,1009,9.09532804629606e-14,"SCML2",93,141
"ENSG00000258819",53,275,130,2,1,2,1.17933664056448e-13,"LINC02289",94,438
"ENSG00000154553",43,77,80,6,5,2,1.45030181634757e-13,"PDLIM3",95,262
"ENSG00000079393",97,41,178,4,0,2,1.47874946972679e-13,"DUSP13",96,169
"ENSG00000103154",91,110,284,2,0,0,1.47874946972679e-13,"NECAB2",97,183
"ENSG00000185043",1249,1354,2373,655,791,764,1.62005773585841e-13,"CIB1",98,304
"ENSG00000246859",7,3,10,1487,543,1611,1.95470575846803e-13,"STARD4-AS1",99,40
"ENSG00000189067",15999,13869,80658,4252,2730,3480,2.14235057320447e-13,"LITAF",100,117
"ENSG00000132376",1658,1341,2797,970,979,882,2.27998994081311e-13,"INPP5K",101,213
"ENSG00000060749",64,80,78,3108,3580,3527,2.48018026869442e-13,"QSER1",102,105
"ENSG00000167768",1599,1010,98,6,6,0,2.48690465458416e-13,"KRT1",103,135
"ENSG00000134668",116,56,83,1,4,5,2.63655153663615e-13,"SPOCD1",104,119
"ENSG00000142731",14,12,13,777,1152,882,2.67603760608061e-13,"PLK4",105,58
"ENSG00000068971",1014,648,1508,263,378,212,2.86406991598291e-13,"PPP2R5B",106,202
"ENSG00000173110",8520,1516,8372,24,113,3,2.86406991598291e-13,"HSPA6",107,121
"ENSG00000173868",5396,4657,2167,157,263,38,2.86406991598291e-13,"PHOSPHO1",108,127
"ENSG00000149639",103,63,138,4028,6592,4058,2.99923828932993e-13,"SOGA1",109,122
"ENSG00000149289",6,6,27,2044,943,2740,3.25683285262325e-13,"ZC3H12C",110,123
"ENSG00000204592",49730,53724,129569,19638,22267,10076,3.26651924122356e-13,"HLA-E",111,116
