"gene","GTExN7MScountsREPROCESSED","GTExNFK9countsREPROCESSED","GTExO5YTcountsREPROCESSED","GDC2821countsREPROCESSED_bam","GDC2828countsREPROCESSED_bam","GDC2839countsREPROCESSED_bam","padj","symbol","rank","rank_change"
"ENSG00000163464",12193,20430,95467,14,10,18,6.83e-69,"CXCR1",1,0
"ENSG00000162747",9192,7385,35265,12,38,20,3.12e-58,"FCGR3B",2,0
"ENSG00000157551",1227,2227,7541,18,15,10,1.05e-43,"KCNJ15",3,0
"ENSG00000236438",935,549,1788,28,30,29,8.61e-43,"FAM157A",4,0
"ENSG00000135083",835,1353,2630,23,16,7,2.34e-39,"CCNJL",5,1
"ENSG00000184106",311,288,957,6,7,5,2.08e-35,"TREML3P",6,1
"ENSG00000198858",22229,12733,33248,1812,1724,1560,1.01e-34,"R3HDM4",7,1
"ENSG00000148346",7056,871,28306,11,15,14,2.03e-30,"LCN2",8,-3
"ENSG00000204936",1636,10916,251070,1,0,2,2.27e-26,"CD177",9,1
"ENSG00000090238",7631,5230,10759,1211,847,984,1.14e-25,"YPEL3",10,7
"ENSG00000077522",189,168,259,2,7,3,4.48e-25,"ACTN2",11,53
"ENSG00000126262",1151,2677,19899,17,40,24,9.9e-25,"FFAR2",12,-1
"ENSG00000105701",67468,73073,45019,3733,2994,3126,6.58e-24,"FKBP8",13,1
"ENSG00000157404",22,13,20,12622,3907,9866,1.11e-23,"KIT",14,-1
"ENSG00000151651",6810,5498,19388,844,805,1152,3.17e-23,"ADAM8",15,4
"ENSG00000099804",2486,2065,3351,512,448,336,1.2e-22,"CDC34",16,5
"ENSG00000113389",8,6,6,7421,2130,7577,2.3e-22,"NPR3",17,-2
"ENSG00000198125",715,385,326,1,1,4,2.3e-22,"MB",18,5
"ENSG00000129353",5794,5056,14345,1421,1602,1580,3.9e-21,"SLC44A2",19,25
"ENSG00000129355",1661,2595,6695,353,373,242,1.01e-20,"CDKN2D",20,-2
"ENSG00000204160",5375,4300,16548,981,1036,788,2.48e-20,"ZDHHC18",21,3
"ENSG00000176208",36,27,54,2065,2723,2439,1.13e-19,"ATAD5",22,30
"ENSG00000143632",4158,1193,953,6,31,14,1.2e-19,"ACTA1",23,-14
"ENSG00000173535",805,2580,9781,76,18,42,5.52e-19,"TNFRSF10C",24,-8
"ENSG00000008516",7249,7167,51654,249,391,67,1.24e-18,"MMP25",25,10
"ENSG00000159346",19639,16317,21194,3018,3488,1816,2.41e-18,"ADIPOR1",26,2
"ENSG00000108244",255,479,1758,1,0,1,2.73e-18,"KRT23",27,-2
"ENSG00000180871",7676,10572,47694,33,192,356,3.71e-18,"CXCR2",28,6
"ENSG00000100453",4006,4146,1416,99,38,22,3.96e-18,"GZMB",29,-9
"ENSG00000268903",995,892,5008,8,51,9,4.31e-18,"",30,23
"ENSG00000092054",1390,608,538,0,2,0,4.54e-18,"MYH7",31,-2
"ENSG00000124102",484,132,435,1,2,0,1.33e-17,"PI3",32,-2
"ENSG00000196091",432,206,348,0,3,8,1.76e-17,"MYBPC1",33,-11
"ENSG00000185262",2806,3284,7808,1051,872,1108,2.39e-17,"UBALD2",34,32
"ENSG00000171502",3,3,13,5873,1598,2131,2.56e-17,"COL24A1",35,-4
"ENSG00000132846",19,11,32,1246,1497,1661,4.92e-17,"ZBED3",36,38
"ENSG00000114854",145,138,100,6,7,5,5.34e-17,"TNNC1",37,13
"ENSG00000130592",13704,9296,29411,2882,1964,3355,8.79e-17,"LSP1",38,39
"ENSG00000105967",51,96,161,5480,7939,6812,1.22e-16,"TFEC",39,20
"ENSG00000099785",2347,1469,4080,385,633,378,1.31e-16,"MARCHF2",40,14
"ENSG00000162366",1220,878,556,29,3,11,1.66e-16,"PDZK1IP1",41,-14
"ENSG00000197893",189,119,159,0,1,3,1.67e-16,"NRAP",42,63
"ENSG00000104904",18549,25637,40555,5811,8492,5311,2e-16,"OAZ1",43,19
"ENSG00000274173",81,497,1040,4,0,3,2.38e-16,"LINC02967",44,-5
"ENSG00000229314",189,127,860,9,11,2,2.66e-16,"ORM1",45,-8
"ENSG00000122367",152,56,140,4,5,6,4.35e-16,"LDB3",46,23
"ENSG00000111245",505,323,333,0,0,1,5.58e-16,"MYL2",47,-21
"ENSG00000114626",6409,10000,41276,1435,1119,1408,5.67e-16,"ABTB1",48,1
"ENSG00000035664",1049,580,1841,225,129,128,6.92e-16,"DAPK2",49,7
"ENSG00000158828",602,693,1538,229,288,266,6.92e-16,"PINK1",50,60
"ENSG00000196843",3881,3549,11519,1327,962,1166,6.97e-16,"ARID5A",51,25
"ENSG00000151726",22423,20774,149545,3340,2546,1981,8.08e-16,"ACSL1",52,-14
"ENSG00000087086",122112,103511,189001,18509,29600,10712,9.79e-16,"FTL",53,-13
"ENSG00000185559",6,4,10,732,616,908,1.26e-15,"DLK1",54,691
"ENSG00000122778",3,1,12,1800,1208,948,2.91e-15,"KIAA1549",55,-12
"ENSG00000106823",8,8,13,634,918,729,3.11e-15,"ECM2",56,115
"ENSG00000185201",24617,35116,216514,3930,1282,2243,3.9e-15,"IFITM2",57,-10
"ENSG00000285417",6,0,12,4278,1561,2923,3.98e-15,"",58,63
"ENSG00000139618",28,24,60,1528,2667,1916,6.1e-15,"BRCA2",59,23
"ENSG00000081923",18,17,21,1208,2304,1333,6.17e-15,"ATP8B1",60,353
"ENSG00000115590",1535,21445,251167,129,113,5,6.53e-15,"IL1R2",61,-20
"ENSG00000140932",238,663,3703,17,6,31,6.53e-15,"CMTM2",62,-20
"ENSG00000007062",8,5,3,9260,939,9166,8.65e-15,"PROM1",63,-18
"ENSG00000135924",2396,1215,2034,336,403,301,9.98e-15,"DNAJB2",64,17
"ENSG00000213654",10246,10890,46577,2308,3105,1994,1e-14,"GPSM3",65,-2
"ENSG00000008438",2002,837,2009,104,15,29,1.17e-14,"PGLYRP1",66,2
"ENSG00000070495",1910,1827,4593,885,782,951,1.72e-14,"JMJD6",67,35
"ENSG00000022840",12037,11720,40543,4388,4081,4378,2.1e-14,"RNF10",68,17
"ENSG00000103569",6406,18023,88377,181,534,27,2.32e-14,"AQP9",69,-33
"ENSG00000132471",9721,4497,14666,1760,2244,1449,2.32e-14,"WBP2",70,8
"ENSG00000143774",12395,8405,8383,1882,1378,1151,2.34e-14,"GUK1",71,0
"ENSG00000086506",480,1110,408,31,7,28,2.86e-14,"HBQ1",72,-24
"ENSG00000119121",94,184,122,9,10,14,2.86e-14,"TRPM6",73,-3
"ENSG00000214456",207,946,2249,21,57,18,3.1e-14,"PLIN5",74,-19
"ENSG00000109061",465,330,175,1,0,0,3.89e-14,"MYH1",75,-3
"ENSG00000116299",944,787,957,52,4,21,4.19e-14,"ELAPOR1",76,-15
"ENSG00000155189",85,69,109,2893,3127,3484,5.43e-14,"AGPAT5",77,105
"ENSG00000168309",76,124,630,5,10,2,5.43e-14,"FAM107A",78,-20
"ENSG00000173641",108,153,187,0,1,1,5.92e-14,"HSPB7",79,-22
"ENSG00000221957",226,159,97,1,4,0,6.48e-14,"KIR2DS4",80,0
"ENSG00000156802",108,104,160,3859,3974,3463,7.32e-14,"ATAD2",81,96
"ENSG00000105835",21304,38257,221010,3662,4582,1824,8.08e-14,"NAMPT",82,-17
"ENSG00000232187",142,136,409,10,31,9,9.53e-14,"FTH1P7",83,-50
"ENSG00000154553",43,77,80,4,5,2,1.42e-13,"PDLIM3",84,95
"ENSG00000236562",79,38,205,1,2,1,1.72e-13,"IFITM3P1",85,55
"ENSG00000258819",53,275,130,2,1,2,1.84e-13,"LINC02289",86,41
"ENSG00000102098",13,5,8,1252,837,1009,2.13e-13,"SCML2",87,6
"ENSG00000103154",91,110,284,2,0,0,2.54e-13,"NECAB2",88,9
"ENSG00000173110",8520,1516,8372,20,113,3,2.57e-13,"HSPA6",89,-43
"ENSG00000050165",69,131,224,17,5,6,2.61e-13,"DKK3",90,84
"ENSG00000104218",86,73,148,3320,2871,4057,2.64e-13,"CSPP1",91,96
"ENSG00000167768",1599,1010,98,6,6,0,2.64e-13,"KRT1",92,-41
"ENSG00000198554",23,25,35,1009,1213,1055,2.75e-13,"WDHD1",93,76
"ENSG00000173868",5396,4657,2167,146,263,38,2.78e-13,"PHOSPHO1",94,28
"ENSG00000189067",15999,13869,80658,3941,2730,3480,2.8e-13,"LITAF",95,1
"ENSG00000246859",7,3,10,1379,543,1611,2.84e-13,"STARD4-AS1",96,-10
"ENSG00000134668",116,56,83,1,4,5,3.01e-13,"SPOCD1",97,58
"ENSG00000187608",256,231,585,113,116,80,3.07e-13,"ISG15",98,45
"ENSG00000234975",115,87,191,3,17,11,3.11e-13,"FTH1P2",99,-67
"ENSG00000079393",97,41,178,4,0,2,3.49e-13,"DUSP13",100,58
"ENSG00000149289",6,6,27,1886,943,2740,4.59e-13,"ZC3H12C",101,3
"ENSG00000225470",14,7,7,1117,1233,2461,5.17e-13,"JPX",102,-8
"ENSG00000104879",2735,1531,655,9,60,60,6.17e-13,"CKM",103,-24
"ENSG00000142731",14,12,13,725,1152,882,6.33e-13,"PLK4",104,27
"ENSG00000115607",1675,5936,40574,311,48,61,6.66e-13,"IL18RAP",105,-38
"ENSG00000149639",103,63,138,3741,6592,4058,6.69e-13,"SOGA1",106,10
"ENSG00000206172",146011,76520,9166,197,0,34,6.69e-13,"HBA1",107,-47
"ENSG00000168530",209,149,67,0,0,0,7.53e-13,"MYL1",108,-13
"ENSG00000147872",15575,5285,7703,1128,1215,820,7.54e-13,"PLIN2",109,-20
"ENSG00000068971",1014,648,1508,232,378,212,7.84e-13,"PPP2R5B",110,42
"ENSG00000204592",49730,53724,129569,18247,22267,10076,8.48e-13,"HLA-E",111,-27
"ENSG00000152463",13,906,5694,5,1,4,8.78e-13,"OLAH",112,-39
"ENSG00000060749",64,80,78,2901,3580,3527,8.94e-13,"QSER1",113,63
"ENSG00000106484",24,6,33,1529,2098,1714,9.12e-13,"MEST",114,-6
"ENSG00000164309",133,188,365,42,13,27,9.79e-13,"CMYA5",115,4
"ENSG00000185043",1249,1354,2373,598,791,764,1.43e-12,"CIB1",116,115
"ENSG00000066279",25,7,12,1722,3406,1960,1.52e-12,"ASPM",117,-29
"ENSG00000286051",0,0,0,2400,482,6603,1.53e-12,"MAGEA6-DT",118,-26
"ENSG00000131095",311,186,810,3,10,31,1.66e-12,"GFAP",119,-19
"ENSG00000132376",1658,1341,2797,894,979,882,1.82e-12,"INPP5K",120,157
"ENSG00000286071",16,8,9,854,1105,1198,1.89e-12,"",121,21
"ENSG00000163507",19,20,27,966,1059,773,1.94e-12,"CIP2A",122,43
"ENSG00000139890",156,305,498,55,17,24,2.3e-12,"REM2",123,-11
"ENSG00000051341",22,5,20,1486,2039,1266,2.34e-12,"POLQ",124,-10
"ENSG00000127084",8854,6902,23100,3139,4012,2329,2.5e-12,"FGD3",125,20
"ENSG00000124766",57,31,106,2543,5511,7408,2.7e-12,"SOX4",126,24
"ENSG00000178295",51,32,66,2229,2590,1556,2.76e-12,"GEN1",127,-7
"ENSG00000184481",1630,1201,2076,552,464,680,2.8e-12,"FOXO4",128,232
"ENSG00000214688",77,81,169,30,19,15,2.94e-12,"C10orf105",129,63
"ENSG00000013306",46603,39787,9269,2380,1334,1139,3.35e-12,"SLC25A39",130,-43
"ENSG00000159173",450,111,61,1,1,1,3.51e-12,"TNNI1",131,53
"ENSG00000170525",10437,5449,42112,1471,1850,668,3.84e-12,"PFKFB3",132,-41
"ENSG00000175003",62,35,110,3,4,0,4.2e-12,"SLC22A1",133,30
"ENSG00000034152",5458,3777,10684,2604,2690,2350,4.23e-12,"MAP2K3",134,79
"ENSG00000177791",232,81,50,2,2,3,4.38e-12,"MYOZ1",135,66
"ENSG00000128340",16055,17423,54705,6428,7741,8455,4.38e-12,"RAC2",136,123
"ENSG00000281344",1,4,7,390,810,953,4.47e-12,"HELLPAR",137,9
"ENSG00000144792",8,4,13,659,620,1375,4.62e-12,"ZNF660",138,30
"ENSG00000173894",5,4,4,2252,429,1227,5.8e-12,"CBX2",139,-32
"ENSG00000118276",11,3,21,1635,926,3220,5.92e-12,"B4GALT6",140,-2
"ENSG00000130165",749,718,1038,379,394,388,6.07e-12,"ELOF1",141,224
"ENSG00000243772",145,150,50,6,7,5,6.48e-12,"KIR2DL3",142,-7
"ENSG00000172270",10129,7886,17350,4984,4962,3209,6.62e-12,"BSG",143,23
"ENSG00000105501",192,124,752,31,44,18,6.71e-12,"SIGLEC5",144,127
"ENSG00000196923",3941,2984,6768,1380,542,666,7.24e-12,"PDLIM7",145,-6
"ENSG00000186439",51,44,64,0,3,2,7.39e-12,"TRDN",146,44
"ENSG00000119969",46,43,37,3023,3100,1897,7.88e-12,"HELLS",147,2
"ENSG00000124731",4815,6288,11943,995,1958,570,7.94e-12,"TREM1",148,-25
"ENSG00000131669",6534,3649,6475,955,629,219,8.15e-12,"NINJ1",149,-51
"ENSG00000169180",17305,16605,91204,5640,4912,3518,8.35e-12,"XPO6",150,-26
"ENSG00000162545",90,41,174,12,6,3,8.45e-12,"CAMK2N1",151,198
"ENSG00000239474",44,70,126,2,2,9,9.01e-12,"KLHL41",152,58
"ENSG00000185480",9,6,8,440,602,558,1.09e-11,"PARPBP",153,56
"ENSG00000116641",43,20,80,1994,1919,2170,1.1e-11,"DOCK7",154,46
"ENSG00000099860",4350,1330,9579,376,330,696,1.1e-11,"GADD45B",155,48
"ENSG00000134986",4,1,8,628,425,993,1.13e-11,"NREP",156,4
"ENSG00000227507",1823,711,1382,251,125,92,1.13e-11,"LTB",157,-31
"ENSG00000168878",157,111,140,33,28,17,1.13e-11,"SFTPB",158,94
"ENSG00000173846",2059,2280,2797,1046,1027,781,1.18e-11,"PLK3",159,192
"ENSG00000136205",143,194,307,6671,7218,4979,1.19e-11,"TNS3",160,62
"ENSG00000152137",24,79,89,2,2,2,1.19e-11,"HSPB8",161,80
"ENSG00000172216",4653,5971,20525,1165,1499,418,1.25e-11,"CEBPB",162,-72
"ENSG00000178852",16,5,12,771,865,1079,1.35e-11,"EFCAB13",163,66
"ENSG00000269821",106,24,133,11190,5660,10457,1.4e-11,"KCNQ1OT1",164,-34
"ENSG00000255398",1758,451,121,17,17,22,1.69e-11,"HCAR3",165,-36
"ENSG00000144354",43,22,33,2197,3885,1698,1.72e-11,"CDCA7",166,-51
"ENSG00000185900",81,96,139,4906,5647,2724,1.73e-11,"POMK",167,-66
"ENSG00000140678",18049,11036,47958,3275,6500,4716,1.95e-11,"ITGAX",168,28
"ENSG00000167671",8379,6714,5052,1582,830,1040,2.14e-11,"UBXN6",169,-8
"ENSG00000223960",68,48,76,2171,2199,3202,2.14e-11,"CHROMR",170,123
"ENSG00000029153",3,7,18,575,764,586,2.72e-11,"ARNTL2",171,31
"ENSG00000213160",5,5,17,1056,465,805,2.75e-11,"KLHL23",172,-2
"ENSG00000100985",5168,5360,16183,244,6,20,2.81e-11,"MMP9",173,-64
"ENSG00000164116",23,18,13,4992,1080,5156,3.06e-11,"GUCY1A1",174,-33
"ENSG00000180644",15828,19637,2515,719,164,285,3.06e-11,"PRF1",175,-58
"ENSG00000130066",23694,16966,63802,4513,8680,3033,3.31e-11,"SAT1",176,-29
"ENSG00000127955",8,10,38,943,1182,928,3.58e-11,"GNAI1",177,12
"ENSG00000156970",15,2,13,1096,1864,986,3.65e-11,"BUB1B",178,-30
"ENSG00000254325",13,11,6,749,1576,1301,3.68e-11,"",179,258
"ENSG00000118193",11,8,7,592,1579,871,4.13e-11,"KIF14",180,-13
"ENSG00000139832",875,733,3719,166,337,169,4.33e-11,"RAB20",181,4
"ENSG00000172116",447,957,307,48,11,8,4.42e-11,"CD8B",182,-64
"ENSG00000112303",7088,11626,172220,356,1176,86,4.45e-11,"VNN2",183,-80
"ENSG00000077984",5730,13492,59236,2095,782,1773,4.47e-11,"CST7",184,-11
"ENSG00000142546",918,1070,2624,631,481,558,4.47e-11,"NOSIP",185,107
"ENSG00000147650",5,9,10,948,514,503,4.47e-11,"LRP12",186,-24
"ENSG00000247903",3,2,3,387,419,1049,4.47e-11,"",187,-7
"ENSG00000172167",10,11,21,698,540,508,5.17e-11,"MTBP",188,90
"ENSG00000186638",13,10,12,511,842,700,5.21e-11,"KIF24",189,45
"ENSG00000197714",21,27,17,2519,1199,1895,5.26e-11,"ZNF460",190,-18
"ENSG00000274422",2,6,1,658,619,1235,5.54e-11,"",191,-16
"ENSG00000269981",1053,543,3377,11,119,25,5.74e-11,"",192,2
"ENSG00000227591",40,28,52,1,2,2,6.09e-11,"HSD11B1-AS1",193,122
"ENSG00000171552",6761,8085,3332,950,574,906,6.43e-11,"BCL2L1",194,5
"ENSG00000244734",2892707,5422362,1555212,51467,304,7160,6.97e-11,"HBB",195,-84
"ENSG00000128833",14,11,11,1133,838,591,7.13e-11,"MYO5C",196,10
"ENSG00000235257",6,6,4,1037,405,730,7.15e-11,"ITGA9-AS1",197,0
"ENSG00000125498",114,262,96,11,3,1,7.26e-11,"KIR2DL1",198,-66
"ENSG00000232442",350,240,356,106,100,123,7.37e-11,"MHENCR",199,21
"ENSG00000166925",3299,3479,8335,2506,2259,2216,9.86e-11,"TSC22D4",200,162
"ENSG00000109846",267,176,305,15,0,11,9.88e-11,"CRYAB",201,-65
"ENSG00000164047",859,153,319,20,10,1,9.88e-11,"CAMP",202,-96
"ENSG00000148344",77,18,147,3,1,3,1.01e-10,"PTGES",203,83
"ENSG00000157657",47,14,31,3837,1920,2712,1.01e-10,"ZNF618",204,-26
"ENSG00000213362",41,51,118,3,12,4,1.08e-10,"FTH1P12",205,-68
"ENSG00000242094",1,0,7,400,676,620,1.08e-10,"FOXP1-IT1",206,-1
"ENSG00000145734",125,172,166,4705,5903,5905,1.18e-10,"BDP1",207,96
"ENSG00000139112",2177,1537,4011,761,788,330,1.25e-10,"GABARAPL1",208,-57
"ENSG00000100284",5714,3033,6825,1520,2006,1066,1.26e-10,"TOM1",209,15
"ENSG00000120306",774,1480,29938,107,213,127,1.26e-10,"CYSTM1",210,-82
"ENSG00000184445",158,98,147,6089,5624,4082,1.31e-10,"KNTC1",211,22
"ENSG00000257335",1760,4390,40021,377,492,98,1.36e-10,"MGAM",212,-68
"ENSG00000110047",4383,3914,15578,2178,2082,1850,1.36e-10,"EHD1",213,41
"ENSG00000160570",2080,1211,4448,723,960,684,1.44e-10,"DEDD2",214,29
"ENSG00000171051",18161,30305,173947,1095,1510,35,1.48e-10,"FPR1",215,-90
"ENSG00000146414",50,39,70,2514,1388,1870,1.62e-10,"SHPRH",216,37
"ENSG00000178814",133,309,5062,32,29,28,1.68e-10,"OPLAH",217,-61
"ENSG00000116991",600,580,4521,85,187,136,1.73e-10,"SIPA1L2",218,-10
"ENSG00000260592",107,66,47,4,0,2,1.74e-10,"",219,80
"ENSG00000071794",30,33,44,1252,943,1185,1.79e-10,"HLTF",220,139
"ENSG00000147454",26666,37688,76053,10058,2498,3012,1.85e-10,"SLC25A37",221,-67
"ENSG00000250802",1,2,4,298,329,287,1.97e-10,"ZBED3-AS1",222,41
"ENSG00000105374",11686,8884,6564,1689,448,533,1.97e-10,"NKG7",223,-66
"ENSG00000166004",54,37,60,1890,1489,1496,2.08e-10,"CEP295",224,66
"ENSG00000260852",10,13,13,584,495,696,2.08e-10,"FBXL19-AS1",225,130
"ENSG00000105287",4435,3328,3716,1477,1169,1253,2.11e-10,"PRKD2",226,47
"ENSG00000109472",39,147,397,5,0,0,2.11e-10,"CPE",227,-68
"ENSG00000144407",8,5,16,523,492,1018,2.11e-10,"PTH2R",228,7
"ENSG00000219507",183,137,284,0,16,8,2.14e-10,"FTH1P8",229,-116
"ENSG00000221983",29587,26382,18712,5244,6609,6688,2.37e-10,"UBA52",230,95
"ENSG00000172354",6323,7499,24120,2515,4000,2066,2.38e-10,"GNB2",231,-20
"ENSG00000158022",41,66,74,9,12,4,2.38e-10,"TRIM63",232,19
"ENSG00000117984",4713,4517,15234,2470,2606,1562,2.44e-10,"CTSD",233,-21
"ENSG00000146263",61,39,93,1972,1723,1540,2.73e-10,"MMS22L",234,74
"ENSG00000169583",378,473,76,22,19,16,2.73e-10,"CLIC3",235,-44
"ENSG00000188536",1125080,626411,239198,5574,23,82,2.74e-10,"HBA2",236,-103
"ENSG00000225720",20,70,87,5,4,4,2.74e-10,"",237,91
"ENSG00000117298",2182,3117,14838,1026,552,421,3.15e-10,"ECE1",238,-52
"ENSG00000118495",158,127,245,7624,4288,4741,3.65e-10,"PLAGL1",239,5
"ENSG00000170290",111,53,31,0,0,0,3.71e-10,"SLN",240,-10
"ENSG00000168899",292,446,1180,98,198,119,4.11e-10,"VAMP5",241,-15
"ENSG00000102010",137,352,4672,48,16,12,4.15e-10,"BMX",242,-78
"ENSG00000203999",169,225,696,5,27,1,4.45e-10,"LINC01270",243,-90
"ENSG00000162390",22,9,8,3701,978,2126,4.53e-10,"ACOT11",244,-46
"ENSG00000267041",10,17,10,764,715,880,4.53e-10,"ZNF850",245,62
"ENSG00000271270",7,4,26,1017,582,1114,4.6e-10,"TMCC1-DT",246,-4
"ENSG00000167083",115,96,74,15,20,19,4.7e-10,"GNGT2",247,80
"ENSG00000226608",677,926,1286,16,153,51,4.8e-10,"FTLP3",248,-236
"ENSG00000171877",1,1,3,296,285,316,4.9e-10,"FRMD5",249,57
"ENSG00000145901",5970,4502,12262,3788,3972,3270,5.22e-10,"TNIP1",250,167
"ENSG00000181722",42,26,42,2596,1140,2779,5.33e-10,"ZBTB20",251,-1
"ENSG00000109107",426,183,1004,111,78,43,5.45e-10,"ALDOC",252,49
"ENSG00000100100",2718,2766,2397,979,616,509,5.47e-10,"PIK3IP1",253,-15
"ENSG00000136982",8,7,10,343,457,383,5.47e-10,"DSCC1",254,135
"ENSG00000152455",12,19,12,700,1060,866,5.5e-10,"SUV39H2",255,59
"ENSG00000265713",0,0,0,294,411,324,5.92e-10,"",256,6
"ENSG00000204767",16,5,20,593,756,697,6.26e-10,"INSYN2B",257,79
"ENSG00000164512",60,97,284,33,25,21,6.28e-10,"ANKRD55",258,191
"ENSG00000158856",13792,7257,2781,690,98,314,6.34e-10,"DMTN",259,-66
"ENSG00000136824",51,81,83,2224,3440,2290,6.35e-10,"SMC2",260,19
"ENSG00000101335",606,486,282,82,51,93,6.74e-10,"MYL9",261,-29
"ENSG00000127914",397,270,728,9692,10283,11945,6.78e-10,"AKAP9",262,203
"ENSG00000111247",5,8,8,356,968,531,6.83e-10,"RAD51AP1",263,-14
"ENSG00000277443",2635,3064,5601,959,498,198,7.25e-10,"MARCKS",264,-69
"ENSG00000088882",30,9,7,3778,1457,5068,7.82e-10,"CPXM1",265,-50
"ENSG00000189430",269,171,143,39,29,13,8.02e-10,"NCR1",266,-21
"ENSG00000172469",19,29,49,798,1084,1126,8.19e-10,"MANEA",267,187
"ENSG00000178502",5,9,7,501,375,734,9.74e-10,"KLHL11",268,95
"ENSG00000132639",76,9,529,0,0,0,1.08e-09,"SNAP25",269,-44
"ENSG00000140264",2092,2930,6247,1276,1826,1522,1.11e-09,"SERF2",270,207
"ENSG00000272219",3,0,4,259,560,393,1.13e-09,"",271,27
"ENSG00000153395",5024,3046,7051,1755,2690,2015,1.19e-09,"LPCAT1",272,160
"ENSG00000128383",1773,2752,12762,299,78,12,1.19e-09,"APOBEC3A",273,-85
"ENSG00000133739",10,12,15,603,447,923,1.19e-09,"LRRCC1",274,97
"ENSG00000224083",3,1,6,249,363,304,1.22e-09,"MTCO1P11",275,82
"ENSG00000213275",28,30,92,0,4,3,1.22e-09,"IFITM9P",276,-28
"ENSG00000134815",5258,2203,6602,1708,1357,1064,1.25e-09,"DHX34",277,10
"ENSG00000107890",17,33,21,1099,1315,1576,1.32e-09,"ANKRD26",278,60
"ENSG00000175084",1260,939,669,13,59,1,1.32e-09,"DES",279,-33
"ENSG00000286742",2,3,0,758,445,3285,1.35e-09,"",280,-66
"ENSG00000129682",34,32,509,4,4,1,1.52e-09,"FGF13",281,43
"ENSG00000134686",5410,11515,51621,2869,2668,1568,1.56e-09,"PHC2",282,-63
"ENSG00000122779",128,118,267,3041,4471,3626,1.62e-09,"TRIM24",283,192
"ENSG00000182782",3426,1029,311,33,35,111,1.62e-09,"HCAR2",284,56
"ENSG00000126934",2717,2383,5942,2164,2027,1846,1.67e-09,"MAP2K2",285,292
"ENSG00000102871",467,345,1008,286,293,267,1.71e-09,"TRADD",286,219
"ENSG00000198482",32,38,84,1834,1125,1589,1.74e-09,"ZNF808",287,107
"ENSG00000182541",4565,3459,23901,1838,1083,1107,1.76e-09,"LIMK2",288,-48
"ENSG00000107223",1433,1371,2382,1048,1189,1121,1.77e-09,"EDF1",289,605
"ENSG00000146281",92,69,105,4551,2338,2901,1.86e-09,"PM20D2",290,-1
"ENSG00000008517",2046,3694,712,248,76,59,1.88e-09,"IL32",291,-64
"ENSG00000110876",9355,14704,56438,2357,5012,4779,1.95e-09,"SELPLG",292,100
"ENSG00000125735",474,547,1878,168,110,269,1.98e-09,"TNFSF14",293,202
"ENSG00000103067",9,4,3,531,450,735,2.09e-09,"ESRP2",294,110
"ENSG00000112576",5962,7592,23956,4223,3775,2875,2.09e-09,"CCND3",295,35
"ENSG00000012048",49,55,155,1957,3138,2432,2.12e-09,"BRCA1",296,91
"ENSG00000116871",3262,3258,7027,2857,2481,2088,2.14e-09,"MAP7D1",297,184
"ENSG00000175455",96,127,119,3559,3284,3973,2.2e-09,"CCDC14",298,140
"ENSG00000123329",6305,5392,20056,3533,2639,3660,2.31e-09,"ARHGAP9",299,-35
"ENSG00000232729",3,4,1,320,362,583,2.32e-09,"GTF2I-AS1",300,80
"ENSG00000110628",398,362,705,224,276,152,2.36e-09,"SLC22A18",301,156
"ENSG00000278897",1,0,0,557,368,890,2.44e-09,"",302,-32
"ENSG00000184566",0,0,0,459,185,710,2.47e-09,"",303,-37
"ENSG00000015285",7401,5667,19892,3694,4180,2251,2.48e-09,"WAS",304,5
"ENSG00000008056",68,95,161,8,31,19,2.57e-09,"SYN1",305,16
"ENSG00000132436",12,27,25,800,880,1000,2.64e-09,"FIGNL1",306,130
"ENSG00000123838",202,22,81,3,1,0,2.71e-09,"C4BPA",307,60
"ENSG00000152580",9,2,2,2755,279,8893,2.79e-09,"IGSF10",308,-92
"ENSG00000064932",4382,4350,18645,2564,2025,1545,2.81e-09,"SBNO2",309,-9
"ENSG00000115165",8672,6037,12830,2654,2158,698,2.84e-09,"CYTIP",310,-71
"ENSG00000134369",61,76,90,1679,2827,3005,2.96e-09,"NAV1",311,148
"ENSG00000185739",44,44,76,1,10,3,2.99e-09,"SRL",312,140
"ENSG00000231412",115,380,9031,0,6,23,2.99e-09,"",313,-230
"ENSG00000117594",2,2,8,108,7475,2294,3.02e-09,"HSD11B1",314,39
"ENSG00000229644",274,864,4724,85,52,6,3.02e-09,"NAMPTP1",315,54
"ENSG00000286153",7,1,16,448,872,957,3.03e-09,"",316,21
"ENSG00000197540",1225,1358,154,70,13,20,3.11e-09,"GZMM",317,-56
"ENSG00000063854",1984,1359,1197,480,451,417,3.12e-09,"HAGH",318,36
"ENSG00000122483",14,38,67,1411,1942,1572,3.27e-09,"CCDC18",319,160
"ENSG00000146112",8003,7556,29841,2845,5158,3389,3.31e-09,"PPP1R18",320,79
"ENSG00000282508",350,357,800,59,98,185,3.32e-09,"LINC01002",321,-222
"ENSG00000140379",438,3758,10229,159,241,366,3.32e-09,"BCL2A1",322,-37
"ENSG00000091127",32,25,37,1112,795,929,3.44e-09,"PUS7",323,163
"ENSG00000160410",6960,9907,38832,3217,4495,2156,3.48e-09,"SHKBP1",324,-43
"ENSG00000279814",0,0,0,210,487,283,3.48e-09,"",325,-6
"ENSG00000184937",0,0,2,562,410,1234,3.7e-09,"WT1",326,-29
