"gene","GTExN7MScountsPUBLISHED","GTExNFK9countsPUBLISHED","GTExO5YTcountsPUBLISHED","GDC2821countsPUBLISHED","GDC2828countsPUBLISHED","GDC2839countsPUBLISHED","padj","symbol","rank","rank_change"
"ENSG00000139574",33,33,202,0,0,0,2.57536183712876e-09,"NPFF",603,NA
"ENSG00000204822",29,39,85,0,0,0,2.77306552130705e-09,"MRPL53",607,NA
"ENSG00000213920",24,61,465,1,2,1,3.46428638663724e-09,"MDP1",624,NA
"ENSG00000279095",33,31,79,0,0,0,3.91424737989997e-09,"AC243964.4",636,NA
"ENSG00000257594",86,150,916,20,9,3,3.92487030250582e-09,"GALNT4",637,NA
"ENSG00000187024",81,158,56,7,3,2,4.15807108409896e-09,"PTRH1",642,NA
"ENSG00000207165",74,77,34,0,0,0,4.46483019163678e-09,"SNORA70",655,NA
"ENSG00000187922",67,58,61,8,6,6,4.9416012823411e-09,"LCN10",665,NA
"ENSG00000284048",127,56,35,0,0,0,5.31170416336252e-09,"AC073111.2",673,NA
"ENSG00000263335",73,19,99,0,0,0,6.10919439947697e-09,"AF001548.2",688,NA
"ENSG00000272760",36,25,87,0,0,0,6.13847607408604e-09,"AC093726.1",689,NA
"ENSG00000268713",41,64,182,0,0,2,6.53638234811782e-09,"AC005261.3",693,NA
"ENSG00000283375",24,31,156,0,0,0,9.78294953187259e-09,"AC087521.4",727,NA
"ENSG00000260401",169,12,117,0,0,0,1.52430123029579e-08,"AP002761.4",768,NA
"ENSG00000265967",75,15,69,0,0,0,3.71242358371218e-08,"AC100830.3",874,NA
"ENSG00000279519",16,39,79,0,0,0,3.80022346707082e-08,"AC007382.1",878,NA
"ENSG00000228638",14,45,92,0,0,0,4.1521802831087e-08,"FCF1P2",887,NA
"ENSG00000230673",67,66,19,0,0,0,5.79720635249692e-08,"PABPC1P3",924,NA
"ENSG00000243509",60,60,20,0,0,0,6.49885828825945e-08,"TNFRSF6B",940,NA
"ENSG00000262049",48,56,76,0,0,4,6.80263689450409e-08,"AC139530.1",946,NA
"ENSG00000265287",40,17,51,0,0,0,7.37004889282485e-08,"AC005726.4",967,NA
"ENSG00000272155",17,24,98,0,0,0,8.43139729176988e-08,"AC055822.1",982,NA
"ENSG00000236263",20,19,163,0,0,0,8.7515059506993e-08,"AC234582.1",990,NA
"ENSG00000167244",542,80,66,11,2,2,8.78568202012787e-08,"IGF2",991,NA
"ENSG00000260966",18,27,53,0,0,0,9.63406248368254e-08,"AP001486.2",1005,NA
"ENSG00000167644",25,31,34,0,0,0,1.01447758284989e-07,"C19orf33",1018,NA
"ENSG00000210151",15,20,225,0,0,0,1.46458467921003e-07,"MT-TS1",1087,NA
"ENSG00000273300",54,26,26,0,0,0,1.50478035207952e-07,"AC000068.3",1091,NA
"ENSG00000270696",42,36,51,1,0,0,1.54230521622367e-07,"AC005034.3",1095,NA
"ENSG00000225062",16,21,94,0,0,0,1.55548116263812e-07,"CATIP-AS1",1100,NA
"ENSG00000214435",65,29,52,0,1,1,2.17998076681911e-07,"AS3MT",1164,NA
"ENSG00000214110",26,9,264,0,0,0,2.4167648058816e-07,"LDHAP4",1188,NA
"ENSG00000266931",24,25,30,0,0,0,2.52327821548636e-07,"AC092651.1",1189,NA
"ENSG00000278615",19,32,196,3,3,4,3.37035575352276e-07,"C11orf98",1252,NA
"ENSG00000261438",10,29,86,0,0,0,3.479814430478e-07,"AL157394.1",1260,NA
"ENSG00000145075",18,17,44,0,0,0,4.56154716447484e-07,"CCDC39",1306,NA
"ENSG00000211595",68,42,112,9,5,0,5.66412017061941e-07,"IGKJ3",1349,NA
"ENSG00000258900",16,20,38,0,0,0,5.67721998735794e-07,"HNRNPCP1",1350,NA
"ENSG00000245261",31,13,36,0,0,0,6.14355315769208e-07,"AL133375.1",1371,NA
"ENSG00000243414",47,61,286,1,11,1,6.51143555169856e-07,"TICAM2",1382,NA
"ENSG00000238795",22,27,23,0,0,0,6.78077453870739e-07,"SCARNA12",1391,NA
"ENSG00000255513",46,49,11,0,0,0,7.7228487219394e-07,"AC005363.1",1421,NA
"ENSG00000279528",18,19,30,0,0,0,8.64445702276431e-07,"AC115618.3",1449,NA
"ENSG00000249751",13,104,63,1,0,1,1.07308243161591e-06,"ECSCR",1517,NA
"ENSG00000272589",25,18,70,1,0,0,1.3628007582859e-06,"ZSWIM8-AS1",1574,NA
"ENSG00000228703",124,20,10,0,0,0,1.38945136539416e-06,"AL355310.2",1580,NA
"ENSG00000261269",14,8,198,0,0,0,1.44637606537972e-06,"AC093278.2",1594,NA
"ENSG00000125780",140,24,7,0,0,0,1.59167344687265e-06,"TGM3",1616,NA
"ENSG00000276259",15,33,21,0,0,0,1.78685144079054e-06,"AC009118.3",1653,NA
"ENSG00000182230",70,13,47,3,1,2,1.94324334311956e-06,"FAM153B",1664,NA
"ENSG00000273036",106,11,16,0,0,0,2.08555812108208e-06,"AL390726.4",1695,NA
"ENSG00000239257",17,31,17,0,0,0,2.66247088980806e-06,"RPL23AP1",1764,NA
"ENSG00000229590",16,46,15,0,0,0,2.81868548451145e-06,"MSX2P1",1782,NA
"ENSG00000230163",11,19,31,0,0,0,3.08152333252543e-06,"AL122010.1",1808,NA
"ENSG00000267532",16,21,59,1,0,1,5.35366699768609e-06,"MIR497HG",1973,NA
"ENSG00000242282",18,17,17,0,0,0,6.08756667934873e-06,"AC108488.1",2019,NA
"ENSG00000272112",10,11,54,0,0,0,6.10987389875812e-06,"AC011374.2",2026,NA
"ENSG00000283426",10,18,27,0,0,0,6.17303059060191e-06,"SMBD1P",2039,NA
"ENSG00000257605",25,19,41,4,3,5,7.26885960416835e-06,"MYG1-AS1",2097,NA
"ENSG00000228343",21,9,24,0,0,0,8.56114313392596e-06,"AC115618.2",2171,NA
"ENSG00000238917",102,23,3,0,0,0,9.10311909347952e-06,"SNORD10",2193,NA
"ENSG00000266208",14,17,17,0,0,0,9.99384829516732e-06,"AC080112.1",2226,NA
"ENSG00000260465",38,6,21,0,0,0,1.43643526469275e-05,"AC018557.1",2366,NA
"ENSG00000244116",29,18,108,7,8,2,2.14961749490332e-05,"IGKV2-28",2556,NA
"ENSG00000268810",14,10,19,0,0,0,2.30895511798544e-05,"AC007193.1",2604,NA
"ENSG00000196136",53,28,17,3,0,0,2.89048323022308e-05,"SERPINA3",2701,NA
"ENSG00000183336",7,12,29,0,0,0,3.14308115671604e-05,"BOLA2",2734,NA
"ENSG00000278621",21,14,9,0,0,0,3.68624463075509e-05,"AC037198.2",2811,NA
"ENSG00000182566",12,31,24,2,0,1,3.93540032471731e-05,"CLEC4G",2846,NA
"ENSG00000281358",63,42,33,7,12,3,4.07869048550728e-05,"RASSF1-AS1",2862,NA
"ENSG00000173239",2,17,213,1,0,1,6.11452500222463e-05,"LIPM",3104,NA
"ENSG00000229512",27,7,11,0,0,0,6.30967109060937e-05,"AC068580.1",3123,NA
"ENSG00000207304",10,16,11,0,0,0,6.88063133005778e-05,"SNORA8",3188,NA
"ENSG00000198744",24,58,205,29760,270,1189,7.17708433681256e-05,"MTCO3P12",3218,NA
"ENSG00000185437",27,23,16,0,0,2,7.41775619156304e-05,"SH3BGR",3238,NA
"ENSG00000197409",31,14,306,0,0,6,7.74812830490707e-05,"H3C4",3262,NA
"ENSG00000169085",12,36,43,5,2,6,8.60753723446019e-05,"VXN",3327,NA
"ENSG00000283440",18,9,10,0,0,0,8.71254234121943e-05,"LINC01260",3338,NA
"ENSG00000260413",29,12,5,0,0,0,8.90147157353367e-05,"AC025279.2",3354,NA
"ENSG00000272559",5,21,15,0,0,0,9.48650585496253e-05,"OR51F3P",3389,NA
"ENSG00000271602",12,25,5,0,0,0,0.000113934876690937,"KRT8P49",3499,NA
"ENSG00000214455",16,8,36,1,1,0,0.000117252427726452,"RCN1P2",3515,NA
"ENSG00000275857",13,20,5,0,0,0,0.000143763628110119,"AC009133.4",3662,NA
"ENSG00000206047",24,5,10,0,0,0,0.000164689004882204,"DEFA1",3743,NA
"ENSG00000055813",4,10,24,0,0,0,0.000220395817249633,"CCDC85A",3952,NA
"ENSG00000281896",59,15,25,6,2,6,0.000221985252282017,"AC018638.8",3961,NA
"ENSG00000172650",59,20,60,12,16,7,0.000237966752960295,"AGAP5",4002,NA
"ENSG00000275902",10,9,10,0,0,0,0.000242842541190305,"AC139530.3",4022,NA
"ENSG00000267078",8,15,74,1,4,0,0.000261416565707775,"AC015802.1",4071,NA
"ENSG00000253986",15,34,10,2,0,0,0.000276415329418618,"AC104561.3",4132,NA
"ENSG00000267030",24,4,9,0,0,0,0.000278216609623147,"AC011498.2",4138,NA
"ENSG00000260244",12,30,2,0,0,0,0.000282962557266523,"AC104083.1",4160,NA
"ENSG00000280137",82,46,0,1,0,0,0.000288994346964358,"AC116348.4",4186,NA
"ENSG00000200530",6,11,12,0,0,0,0.000306489581021196,"SNORD35B",4241,NA
"ENSG00000240494",7,5,22,0,0,0,0.000326036406340234,"RPS12P28",4310,NA
"ENSG00000227986",4,16,12,0,0,0,0.000340258238892372,"TRIM60P18",4334,NA
"ENSG00000279504",23,6,5,0,0,0,0.00039122730209082,"AD001527.2",4427,NA
"ENSG00000213578",11,2,28,0,0,0,0.000454383230968871,"CPLX3",4556,NA
"ENSG00000273149",46,6,1,0,0,0,0.000516622191576484,"AL138963.3",4668,NA
"ENSG00000108950",26,128,5449,126,57,43,0.000545012446296443,"FAM20A",4711,NA
"ENSG00000167332",9,13,5,0,0,0,0.000555358667900425,"OR51E2",4730,NA
"ENSG00000212643",8,9,8,0,0,0,0.000570094364811194,"ZRSR2P1",4750,NA
"ENSG00000272909",22,29,20,2,3,8,0.000575123972231009,"AL122035.2",4761,NA
"ENSG00000204055",5,22,27,2,0,2,0.000604285494834418,"AL158151.1",4814,NA
"ENSG00000188038",10,19,27,0,1,4,0.000621182941314372,"NRN1L",4843,NA
"ENSG00000241484",47,51,18,10,0,3,0.000685391215234849,"ARHGAP8",4940,NA
"ENSG00000228452",7,3,24,0,0,0,0.000694580001457886,"AC098484.1",4957,NA
"ENSG00000132207",18,9,17,1,3,2,0.000700891337168591,"SLX1A",4975,NA
"ENSG00000233448",41,5,39,0,5,1,0.000834015501363548,"PMS2P9",5168,NA
"ENSG00000180785",5,15,6,0,0,0,0.000836648245330927,"OR51E1",5172,NA
"ENSG00000276101",7,4,15,0,0,0,0.000979851237721635,"AC027601.3",5330,NA
"ENSG00000198908",14,20,36,2,1,8,0.00101464462389861,"BHLHB9",5364,NA
"ENSG00000234231",46,14,9,0,2,4,0.00103569285013213,"ANAPC1P4",5400,NA
