"rank_change","symbol","rank","padj","gene"
331,"FAM107A",85,4.27310833119387e-14,"ENSG00000168309"
76,"WDHD1",86,4.27310833119387e-14,"ENSG00000198554"
63,"KIR2DS4",87,5.40594788209434e-14,"ENSG00000221957"
92,"ELAPOR1",88,5.5899538040389e-14,"ENSG00000116299"
179,"NAMPT",89,7.36076218122734e-14,"ENSG00000105835"
622,"GFAP",90,7.74779346645147e-14,"ENSG00000131095"
684,"DKK3",91,8.38519610187647e-14,"ENSG00000050165"
1259,"IFITM3P1",92,8.3945758381833e-14,"ENSG00000236562"
141,"SCML2",93,9.09532804629606e-14,"ENSG00000102098"
438,"LINC02289",94,1.17933664056448e-13,"ENSG00000258819"
262,"PDLIM3",95,1.45030181634757e-13,"ENSG00000154553"
169,"DUSP13",96,1.47874946972679e-13,"ENSG00000079393"
183,"NECAB2",97,1.47874946972679e-13,"ENSG00000103154"
304,"CIB1",98,1.62005773585841e-13,"ENSG00000185043"
40,"STARD4-AS1",99,1.95470575846803e-13,"ENSG00000246859"
117,"LITAF",100,2.14235057320447e-13,"ENSG00000189067"
213,"INPP5K",101,2.27998994081311e-13,"ENSG00000132376"
105,"QSER1",102,2.48018026869442e-13,"ENSG00000060749"
135,"KRT1",103,2.48690465458416e-13,"ENSG00000167768"
119,"SPOCD1",104,2.63655153663615e-13,"ENSG00000134668"
58,"PLK4",105,2.67603760608061e-13,"ENSG00000142731"
202,"PPP2R5B",106,2.86406991598291e-13,"ENSG00000068971"
121,"HSPA6",107,2.86406991598291e-13,"ENSG00000173110"
127,"PHOSPHO1",108,2.86406991598291e-13,"ENSG00000173868"
122,"SOGA1",109,2.99923828932993e-13,"ENSG00000149639"
123,"ZC3H12C",110,3.25683285262325e-13,"ENSG00000149289"
116,"HLA-E",111,3.26651924122356e-13,"ENSG00000204592"
308,"CKM",112,3.4480440417067e-13,"ENSG00000104879"
75,"CIP2A",113,3.70825910643072e-13,"ENSG00000163507"
-27,"JPX",114,5.14059347704412e-13,"ENSG00000225470"
130,"IL18RAP",115,5.32113126488445e-13,"ENSG00000115607"
66,"C10orf105",116,5.67580921554302e-13,"ENSG00000214688"
947,"MEST",117,5.99050370363573e-13,"ENSG00000106484"
151,"PLIN2",118,6.22353114165968e-13,"ENSG00000147872"
250,"MYL1",119,6.22353114165968e-13,"ENSG00000168530"
179,"ELOF1",120,7.60403463623914e-13,"ENSG00000130165"
177,"GEN1",121,9.04211889270663e-13,"ENSG00000178295"
144,"OLAH",122,9.20742642285242e-13,"ENSG00000152463"
190,"FOXO4",123,9.20742642285242e-13,"ENSG00000184481"
NA,"AL136171.2",124,1.01624323861175e-12,"ENSG00000286071"
165,"MAP2K3",125,1.14157874186479e-12,"ENSG00000034152"
151,"FGD3",126,1.2166993946197e-12,"ENSG00000127084"
159,"SOX4",127,1.29123391871398e-12,"ENSG00000124766"
12,"ASPM",128,1.47047370232715e-12,"ENSG00000066279"
300,"TNNI1",129,1.47047370232715e-12,"ENSG00000159173"
30,"POLQ",130,1.53038283660251e-12,"ENSG00000051341"
55,"KLHL41",131,1.59689872078664e-12,"ENSG00000239474"
138,"REM2",132,1.68360051300611e-12,"ENSG00000139890"
234,"SLC22A1",133,1.72520229266285e-12,"ENSG00000175003"
105,"TNS3",134,1.84749892587144e-12,"ENSG00000136205"
172,"BSG",135,1.95086504275372e-12,"ENSG00000172270"
556,"CMYA5",136,2.09108246711424e-12,"ENSG00000164309"
NA,"AC244102.3",137,2.09462249737205e-12,"ENSG00000286051"
138,"RAC2",138,2.12351240668901e-12,"ENSG00000128340"
52,"HELLPAR",139,2.74803300948949e-12,"ENSG00000281344"
148,"HELLS",140,3.21924100443512e-12,"ENSG00000119969"
122,"PLK3",141,3.27599870508594e-12,"ENSG00000173846"
243,"PDLIM7",142,3.3003149815424e-12,"ENSG00000196923"
146,"SLC25A39",143,3.68834723053688e-12,"ENSG00000013306"
172,"ZNF660",144,3.69554409930457e-12,"ENSG00000144792"
158,"PFKFB3",145,3.75781705279756e-12,"ENSG00000170525"
1813,"SFTPB",146,3.8040349174977e-12,"ENSG00000168878"
374,"MYOZ1",147,3.91345196174341e-12,"ENSG00000177791"
837,"TRDN",148,4.04256487512762e-12,"ENSG00000186439"
