"padj","gene","symbol","rank","rank_change"
2.63987071059471e-18,"ENSG00000167996","FTH1",101,2690
2.77185619286982e-18,"ENSG00000106823","ECM2",102,-46
2.79526224975148e-18,"ENSG00000143570","SLC39A1",103,20951
3.33134775767744e-18,"ENSG00000149798","CDC42EP2",104,NA
5.23625057720251e-18,"ENSG00000242114","MTFP1",105,10682
5.84649710014438e-18,"ENSG00000279605","AC067930.5",106,13017
7.54610848530472e-18,"ENSG00000122778","KIAA1549",107,-49
8.06079451876944e-18,"ENSG00000145029","NICN1",108,NA
9.63254353704607e-18,"ENSG00000166337","TAF10",109,17370
1.00623743854605e-17,"ENSG00000143632","ACTA1",110,-89
1.1389727230405e-17,"ENSG00000106992","AK1",111,1154
1.29440024057833e-17,"ENSG00000185262","UBALD2",112,-79
1.32167752294873e-17,"ENSG00000175826","CTDNEP1",113,1188
1.36071858323171e-17,"ENSG00000118276","B4GALT6",114,39
1.80726517638231e-17,"ENSG00000266820","KPNA2P3",115,NA
2.29198537924133e-17,"ENSG00000124102","PI3",116,-81
2.67852107782591e-17,"ENSG00000243708","PLA2G4B",117,25646
3.32239190854939e-17,"ENSG00000229314","ORM1",118,-72
4.35397708539387e-17,"ENSG00000158828","PINK1",119,-74
4.35397708539387e-17,"ENSG00000176340","COX8A",120,324
4.35397708539387e-17,"ENSG00000260592","AC130456.3",121,98
4.3881880334353e-17,"ENSG00000141086","CTRL",122,NA
5.86508101241113e-17,"ENSG00000243056","EIF4EBP3",123,25847
8.78730033160712e-17,"ENSG00000008128","CDK11A",124,11970
1.20900525760646e-16,"ENSG00000260279","AC137932.1",125,8822
1.22550616628966e-16,"ENSG00000105967","TFEC",126,-87
1.2646670091168e-16,"ENSG00000128271","ADORA2A",127,23532
1.70903709098403e-16,"ENSG00000219507","FTH1P8",128,-110
2.07281367387142e-16,"ENSG00000105393","BABAM1",129,3557
2.17393221572247e-16,"ENSG00000274173","AL035661.1",130,-77
2.6940645337287e-16,"ENSG00000213246","SUPT4H1",131,9410
4.14865915352693e-16,"ENSG00000099785","MARCHF2",132,-89
4.25067538964682e-16,"ENSG00000087086","FTL",133,-81
4.84603949517485e-16,"ENSG00000155189","AGPAT5",134,-63
5.88547692618032e-16,"ENSG00000105647","PIK3R2",135,21951
6.1741985795095e-16,"ENSG00000176208","ATAD5",136,-111
6.33498407650027e-16,"ENSG00000185201","IFITM2",137,-74
6.40207844921922e-16,"ENSG00000166507","NDST2",138,15342
6.75372053607316e-16,"ENSG00000246859","STARD4-AS1",139,-40
7.03695502054975e-16,"ENSG00000066279","ASPM",140,-12
7.2262760720528e-16,"ENSG00000213160","KLHL23",141,33
7.24731700657097e-16,"ENSG00000162366","PDZK1IP1",142,-83
7.57078206899177e-16,"ENSG00000266469","AC005288.1",143,NA
1.00240620501992e-15,"ENSG00000247828","TMEM161B-AS1",144,565
1.01560767285664e-15,"ENSG00000213073","CHP1P2",145,NA
1.1210760504402e-15,"ENSG00000167524","RSKR",146,4935
1.1289106001745e-15,"ENSG00000249898","MCPH1-AS1",147,386
1.16017511522621e-15,"ENSG00000136371","MTHFS",148,17580
1.16276770794617e-15,"ENSG00000022840","RNF10",149,-79
1.49005361341128e-15,"ENSG00000221957","KIR2DS4",150,-63
1.59604472039984e-15,"ENSG00000223609","HBD",151,5468
1.68040912485469e-15,"ENSG00000214456","PLIN5",152,-73
2.24561565131901e-15,"ENSG00000160229","ZNF66",153,373
2.28429435890049e-15,"ENSG00000126246","IGFLR1",154,5468
2.30414344656857e-15,"ENSG00000035664","DAPK2",155,-98
2.36123180762474e-15,"ENSG00000132846","ZBED3",156,-120
2.40598298615174e-15,"ENSG00000188603","CLN3",157,17995
2.75112118813487e-15,"ENSG00000151726","ACSL1",158,-104
2.83069242346938e-15,"ENSG00000226232","NPIPB14P",159,NA
3.25339515054059e-15,"ENSG00000051341","POLQ",160,-30
3.27653230659517e-15,"ENSG00000092054","MYH7",161,-129
3.56520579006895e-15,"ENSG00000198554","WDHD1",162,-76
3.67046372355006e-15,"ENSG00000142731","PLK4",163,-58
3.82518916851576e-15,"ENSG00000112651","MRPL2",164,22638
3.90910727182523e-15,"ENSG00000213468","FIRRE",165,222
4.05445581530427e-15,"ENSG00000186704","DTX2P1",166,25402
4.53925732169482e-15,"ENSG00000178502","KLHL11",167,104
4.56081803031822e-15,"ENSG00000196998","WDR45",168,394
4.64885951986106e-15,"ENSG00000118193","KIF14",169,26
4.81153459671148e-15,"ENSG00000114626","ABTB1",170,-119
4.92934977594781e-15,"ENSG00000254505","CHMP4A",171,20485
5.12627490915621e-15,"ENSG00000134072","CAMK1",172,21245
