"gene","GTExN7MScountsREPROCESSED","GTExNFK9countsREPROCESSED","GTExO5YTcountsREPROCESSED","GDC2821countsREPROCESSED","GDC2828countsREPROCESSED","GDC2839countsREPROCESSED","padj","symbol","rank","rank_change"
"ENSG00000287957",1,0,4,113,74,109,9.54953772490837e-05,"AC007695.1",2372,NA
"ENSG00000286894",0,0,0,40,64,56,9.7289066215034e-05,"AC009141.1",2377,NA
"ENSG00000284946",14,9,3,321,400,348,9.94183426769225e-05,"AC068831.6",2395,NA
"ENSG00000287663",0,0,0,41,37,149,0.000102635278803951,"AL122020.2",2413,NA
"ENSG00000285701",1,0,1,69,97,131,0.00010335476112728,"AL357140.4",2427,NA
"ENSG00000287719",24,6,14,0,0,2,0.000106693986953392,"AP001531.1",2437,NA
"ENSG00000286236",3,22,117,5,6,1,0.000108028356114651,"AC018755.5",2441,NA
"ENSG00000285719",0,0,0,42,25,238,0.000120776200869086,"AL356275.1",2496,NA
"ENSG00000286757",1,3,2,102,72,110,0.000124116467194628,"AL137139.2",2514,NA
"ENSG00000285108",2,1,0,14,277,690,0.000134533750370883,"AC103718.1",2569,NA
"ENSG00000286721",1,0,0,99,36,206,0.000134533750370883,"AC010623.1",2570,NA
"ENSG00000152766",41,153,5898,39,189,21,0.000149105853309705,"ANKRD22",2625,NA
"ENSG00000286633",1,4,0,94,129,353,0.00015232716076244,"AL160400.1",2635,NA
"ENSG00000287242",1,0,0,74,59,93,0.000153884140326299,"AC073593.2",2638,NA
"ENSG00000284959",4,7,1,226,130,257,0.000161169389270615,"AC007262.2",2655,NA
"ENSG00000137267",391,26,76,43,18,33,0.000162613104876462,"TUBB2A",2663,NA
"ENSG00000286849",4,0,0,114,138,151,0.000167956288222666,"AC009152.6",2682,NA
"ENSG00000286899",4,0,1,113,183,81,0.000171454904661268,"AL139286.2",2697,NA
"ENSG00000263677",0,0,0,6,159,184,0.000185745372242974,"AC012588.1",2739,NA
"ENSG00000285596",10,5,8,150,179,167,0.00018617525113345,"AC017116.2",2747,NA
"ENSG00000286431",16,4,12,278,213,506,0.000188290062175199,"BX842570.1",2755,NA
"ENSG00000285658",2,0,0,99,76,94,0.000191550450956809,"AC127035.1",2762,NA
"ENSG00000288076",2,2,2,80,75,87,0.000207568860520825,"AC018398.2",2803,NA
"ENSG00000285909",5,4,0,214,373,115,0.000213331827508021,"AP002762.2",2820,NA
"ENSG00000287106",0,0,0,51,45,37,0.00021356825558577,"AC106743.1",2821,NA
"ENSG00000286722",0,0,1,51,72,90,0.000223254972077186,"AC009244.1",2858,NA
"ENSG00000287857",0,0,0,47,44,39,0.000228319532345257,"AL592546.3",2867,NA
"ENSG00000288235",0,0,0,90,22,56,0.000239009961051434,"FAM106C",2892,NA
"ENSG00000278206",1,1,0,62,81,113,0.000242495275939895,"AL031320.2",2904,NA
"ENSG00000207736",8,12,15,5,1,2,0.000263576516471624,"MIR657",2972,NA
"ENSG00000267385",12,10,69,3,11,2,0.000266530620144701,"AC011498.4",2985,NA
"ENSG00000287168",15,17,42,420,267,329,0.000269172034223417,"AL512625.3",2990,NA
"ENSG00000255723",0,0,0,36,80,32,0.000271815747838653,"AC108516.2",2995,NA
"ENSG00000235027",207,25,40,24,27,5,0.000276080020129339,"AC068580.3",3004,NA
"ENSG00000287503",0,0,0,30,52,51,0.000283830247948855,"AC027243.3",3020,NA
"ENSG00000285730",4,0,0,99,164,114,0.000335147899109672,"Z94721.3",3127,NA
