"gene","GTExN7MScountsPUBLISHED","GTExNFK9countsPUBLISHED","GTExO5YTcountsPUBLISHED","GDC2821countsPUBLISHED","GDC2828countsPUBLISHED","GDC2839countsPUBLISHED","padj","symbol","rank","rank_change"
"ENSG00000105501",2430,1336,20351,34,44,18,1.02267011239489e-20,"SIGLEC5",66,90
"ENSG00000169228",1522,1868,9074,101,106,57,1.26961812949515e-20,"RAB24",67,885
"ENSG00000129353",9848,8436,25261,1534,1599,1575,1.29564393331701e-20,"SLC44A2",68,-48
"ENSG00000181029",715,1429,2589,98,108,104,1.41277133818069e-20,"TRAPPC5",69,15452
"ENSG00000204160",9403,7276,29456,1063,1033,785,1.49633359195944e-20,"ZDHHC18",70,-46
"ENSG00000211675",500,685,976,0,0,0,1.54257259075928e-20,"IGLC1",71,NA
"ENSG00000272573",185,150,490,9,3,5,2.47448586190816e-20,"MUSTN1",72,NA
"ENSG00000210196",1,0,1,2928,7559,8211,2.71998885248237e-20,"MT-TP",73,1246
"ENSG00000086506",31825,19435,1532,34,7,28,2.74679122407809e-20,"HBQ1",74,6
"ENSG00000117984",22943,22120,83058,2662,2585,1553,2.84445600120842e-20,"CTSD",75,151
"ENSG00000250506",228,194,318,18,9,12,2.93491529787179e-20,"CDK3",76,20868
"ENSG00000122687",152,251,371,11,6,12,4.70707609492255e-20,"MRM2",77,23619
"ENSG00000104218",80,55,115,3592,2854,4048,6.26453612552869e-20,"CSPP1",78,6
"ENSG00000205220",2332,3143,5229,466,527,353,7.6262790988996e-20,"PSMB10",79,713
"ENSG00000213533",622,615,2829,42,51,27,7.6262790988996e-20,"STIMATE",80,20303
"ENSG00000110025",439,369,919,57,70,64,1.41151321355431e-19,"SNX15",81,25684
"ENSG00000186010",891,1358,2515,100,64,130,1.89335441317343e-19,"NDUFA13",82,21873
"ENSG00000104904",37324,53092,91083,6338,8434,5290,1.94895675289931e-19,"OAZ1",83,-43
"ENSG00000274012",2867,2115,673,0,0,0,1.96714090011772e-19,"RN7SL2",84,NA
"ENSG00000105404",1115,2425,10102,89,50,79,2.11948834935236e-19,"RABAC1",85,844
"ENSG00000156875",861,880,2750,53,19,60,2.36203845585645e-19,"MFSD14A",86,13914
"ENSG00000225470",7,4,19,1178,1228,2451,2.51791597861019e-19,"JPX",87,27
"ENSG00000008516",13373,13168,98232,270,389,65,2.84824395814608e-19,"MMP25",88,-59
"ENSG00000213689",326,572,850,0,0,0,5.23364670184234e-19,"TREX1",89,NA
"ENSG00000175482",1574,1871,6416,200,180,228,6.56980668490422e-19,"POLD4",90,3042
"ENSG00000198917",572,504,333,13,6,12,7.63385155251667e-19,"SPOUT1",91,24766
"ENSG00000159346",35196,28606,38308,3231,3473,1813,8.46623399772096e-19,"ADIPOR1",92,-64
"ENSG00000172780",881,789,3432,63,64,24,1.15621167374937e-18,"RAB43",93,2072
