"padj","gene","symbol","rank","rank_change"
2.48690465458416e-13,"ENSG00000167768","KRT1",103,135
2.63655153663615e-13,"ENSG00000134668","SPOCD1",104,119
2.67603760608061e-13,"ENSG00000142731","PLK4",105,58
2.86406991598291e-13,"ENSG00000068971","PPP2R5B",106,202
2.86406991598291e-13,"ENSG00000173110","HSPA6",107,121
2.86406991598291e-13,"ENSG00000173868","PHOSPHO1",108,127
2.99923828932993e-13,"ENSG00000149639","SOGA1",109,122
3.25683285262325e-13,"ENSG00000149289","ZC3H12C",110,123
3.26651924122356e-13,"ENSG00000204592","HLA-E",111,116
3.4480440417067e-13,"ENSG00000104879","CKM",112,308
3.70825910643072e-13,"ENSG00000163507","CIP2A",113,75
5.14059347704412e-13,"ENSG00000225470","JPX",114,-27
5.32113126488445e-13,"ENSG00000115607","IL18RAP",115,130
5.67580921554302e-13,"ENSG00000214688","C10orf105",116,66
5.99050370363573e-13,"ENSG00000106484","MEST",117,947
6.22353114165968e-13,"ENSG00000147872","PLIN2",118,151
6.22353114165968e-13,"ENSG00000168530","MYL1",119,250
7.60403463623914e-13,"ENSG00000130165","ELOF1",120,179
9.04211889270663e-13,"ENSG00000178295","GEN1",121,177
9.20742642285242e-13,"ENSG00000152463","OLAH",122,144
9.20742642285242e-13,"ENSG00000184481","FOXO4",123,190
1.01624323861175e-12,"ENSG00000286071","AL136171.2",124,NA
1.14157874186479e-12,"ENSG00000034152","MAP2K3",125,165
1.2166993946197e-12,"ENSG00000127084","FGD3",126,151
1.29123391871398e-12,"ENSG00000124766","SOX4",127,159
1.47047370232715e-12,"ENSG00000066279","ASPM",128,12
1.47047370232715e-12,"ENSG00000159173","TNNI1",129,300
1.53038283660251e-12,"ENSG00000051341","POLQ",130,30
1.59689872078664e-12,"ENSG00000239474","KLHL41",131,55
1.68360051300611e-12,"ENSG00000139890","REM2",132,138
1.72520229266285e-12,"ENSG00000175003","SLC22A1",133,234
1.84749892587144e-12,"ENSG00000136205","TNS3",134,105
1.95086504275372e-12,"ENSG00000172270","BSG",135,172
2.09108246711424e-12,"ENSG00000164309","CMYA5",136,556
2.09462249737205e-12,"ENSG00000286051","AC244102.3",137,NA
2.12351240668901e-12,"ENSG00000128340","RAC2",138,138
2.74803300948949e-12,"ENSG00000281344","HELLPAR",139,52
3.21924100443512e-12,"ENSG00000119969","HELLS",140,148
3.27599870508594e-12,"ENSG00000173846","PLK3",141,122
3.3003149815424e-12,"ENSG00000196923","PDLIM7",142,243
3.68834723053688e-12,"ENSG00000013306","SLC25A39",143,146
3.69554409930457e-12,"ENSG00000144792","ZNF660",144,172
3.75781705279756e-12,"ENSG00000170525","PFKFB3",145,158
3.8040349174977e-12,"ENSG00000168878","SFTPB",146,1813
3.91345196174341e-12,"ENSG00000177791","MYOZ1",147,374
